start	end	seg_len
1166429979	1166431288	1309
1166431290	1166432718	1428
1166432720	1166433441	721
1166433443	1166434004	561
1166434007	1166434090	83
1166434092	1166434200	108
1166434202	1166434248	46
1166434250	1166434371	121
1166434373	1166434473	100
1166434476	1166434782	306
1166434784	1166434966	182
1166434968	1166435125	157
1166435127	1166435149	22
1166435151	1166436617	1466
1166436619	1166436894	275
1166436896	1166437212	316
1166437214	1166437693	479
1166437695	1166438454	759
1166438456	1166438739	283
1166438741	1166438810	69
1166438812	1166438838	26
1166438842	1166439248	406
1166439250	1166439497	247
1166439499	1166439751	252
1166439753	1166439780	27
1166439782	1166439910	128
1166439912	1166440015	103
1166440017	1166440594	577
1166440596	1166440833	237
1166440836	1166441047	211
1166441049	1166441116	67
1166441118	1166441215	97
1166441217	1166442627	1410
1166442629	1166443424	795
1166443426	1166443496	70
1166443498	1166443882	384
1166443884	1166444286	402
1166444288	1166444691	403
1166444693	1166445832	1139
1166445834	1166446445	611
1166446447	1166446634	187
1166446636	1166447243	607
1166447245	1166449081	1836
1166449083	1166449785	702
1166449787	1166450198	411
1166450200	1166451157	957
1166451159	1166452204	1045
1166452206	1166455883	3677
1166455885	1166459956	4071
1166459958	1166460326	368
1166470234	1166482852	12618
1167536690	1167572316	35626
1167572321	1167576840	4519
1167587310	1167591498	4188
1167593833	1167595198	1365
1167595200	1167595206	6
1167595208	1167598963	3755
1167599427	1167599574	147
1167599576	1167599700	124
1167599702	1167599739	37
1167599741	1167599831	90
1167599833	1167599864	31
1167599866	1167599871	5
1167599875	1167600432	557
1167600434	1167601750	1316
1167601752	1167602531	779
1167602533	1167603982	1449
1167603984	1167609738	5754
1167610190	1167610345	155
1167621300	1167625910	4610
1167625912	1167625916	4
1167625918	1167628469	2551
1167629025	1167630075	1050
1167634198	1167645302	11104
1167654188	1167654612	424
1167656537	1167662961	6424
1167662963	1167662973	10
1167662975	1167664843	1868
1167667787	1167668648	861
1167680478	1167680642	164
1167684166	1167685969	1803
1167690131	1167699195	9064
1167710133	1167710438	305
1167710440	1167713997	3557
1167715531	1167720775	5244
1167726591	1167731830	5239
1167734564	1167736022	1458
1167740300	1167740431	131
1167751200	1167751304	104
1167940598	1167942010	1412
1168046720	1168046928	208
1168046930	1168063955	17025
1168063957	1168065110	1153
1168127735	1168141494	13759
1168217487	1168227039	9552
1168231023	1168243146	12123
1168243148	1168248199	5051
1168248201	1168253752	5551
1168257979	1168258402	423
1168259346	1168259465	119
1168261934	1168262270	336
1168262314	1168265123	2809
1168265125	1168270370	5245
1168270372	1168270985	613
1168270987	1168274142	3155
1168277986	1168278681	695
1168278794	1168280047	1253
1168280191	1168281600	1409
1168281758	1168283394	1636
1168286756	1168287443	687
1168287561	1168287780	219
1168287894	1168288108	214
1168288139	1168288688	549
1168290926	1168291355	429
1168301796	1168302054	258
1168302056	1168305182	3126
1168305184	1168305882	698
1168305884	1168306176	292
1168306242	1168307374	1132
1168307376	1168316575	9199
1168316577	1168324169	7592
1168324171	1168324634	463
1168331937	1168333425	1488
1168333427	1168347760	14333
1168348107	1168353018	4911
1168359320	1168361574	2254
1168361576	1168362018	442
1168386626	1168387406	780
1168387408	1168388892	1484
1168396518	1168399093	2575
1168400094	1168411186	11092
1168491509	1168500203	8694
1168503886	1168510582	6696
1168650301	1168651600	1299
1168652841	1168657573	4732
1168657575	1168668969	11394
1168693442	1168695812	2370
1168807998	1168815086	7088
1168815088	1168817473	2385
1168825167	1168825873	706
1168826838	1168833703	6865
1168849539	1168878579	29040
1168878951	1168883627	4676
1168883782	1168889251	5469
1168889253	1168895244	5991
1168895246	1168902680	7434
1168921414	1168940100	18686
1168949380	1168950618	1238
1168952420	1168971190	18770
1168971192	1168972317	1125
1168977184	1168978382	1198
1168981269	1168988001	6732
1168988003	1168988056	53
1168988058	1168988095	37
1168988097	1168988259	162
1168988261	1169010110	21849
1169018806	1169018880	74
1169019044	1169024592	5548
1169035392	1169058225	22833
1169069015	1169071304	2289
1169071306	1169075954	4648
1169086769	1169095413	8644
1169209571	1169218062	8491
1169237108	1169237834	726
1169238943	1169239473	530
1169239475	1169241014	1539
1169241199	1169247957	6758
1169247959	1169249464	1505
1169256223	1169258103	1880
1169258105	1169258236	131
1169258238	1169262499	4261
1169262501	1169267601	5100
1169267603	1169270275	2672
1169270277	1169271419	1142
1169271421	1169272948	1527
1169281203	1169288484	7281
1169298789	1169300624	1835
1169300626	1169305198	4572
1169347048	1169353719	6671
1169353880	1169357578	3698
1169361477	1169370308	8831
1169375326	1169376328	1002
1169377879	1169378611	732
1169385856	1169386921	1065
1169477757	1169477957	200
1169487936	1169488086	150
1169488088	1169488091	3
1169488093	1169489567	1474
1169498395	1169499410	1015
1169501179	1169502455	1276
1169502457	1169502568	111
1169502570	1169503929	1359
1169504719	1169504813	94
1169504815	1169506082	1267
1169506084	1169506524	440
1169506526	1169520917	14391
1169520919	1169521889	970
1169521891	1169523787	1896
1169523789	1169529381	5592
1169529383	1169531017	1634
1169531019	1169533293	2274
1169533295	1169536483	3188
1169536485	1169542246	5761
1169542248	1169547547	5299
1169548287	1169549195	908
1169549197	1169551227	2030
1169551229	1169561512	10283
1169570984	1169572987	2003
1169572989	1169574181	1192
1169574183	1169574220	37
1169581340	1169582701	1361
1169582703	1169584818	2115
1169590978	1169591269	291
1169591271	1169593361	2090
1169593363	1169594493	1130
1169594495	1169601817	7322
1169605235	1169616026	10791
1169619328	1169620155	827
1169620157	1169628298	8141
1169628300	1169629384	1084
1169629386	1169632719	3333
1169632721	1169636414	3693
1169636416	1169656065	19649
1169664796	1169664928	132
1169674408	1169675640	1232
1169679456	1169680643	1187
1169685684	1169695954	10270
1169701249	1169731140	29891
1169733766	1169734565	799
1169736556	1169738875	2319
1169778870	1169798047	19177
1169803376	1169820366	16990
1169825556	1169829189	3633
1169831089	1169831297	208
1169831395	1169832579	1184
1169832581	1169838186	5605
1169843790	1169844561	771
1169844563	1169859173	14610
1169866552	1169908883	42331
1169949030	1169991714	42684
1169997322	1170003158	5836
1170011703	1170013140	1437
1170042399	1170042905	506
1170059394	1170081383	21989
1170086462	1170090181	3719
1170092936	1170092939	3
1170092941	1170092947	6
1170092949	1170093096	147
1170093098	1170093181	83
1170093183	1170093753	570
