# m1 m2 mc q a1z a2z Mf af
4.236697687562481462e+01 1.771463574565525079e+01 2.341356283880969258e+01 4.181236673473176513e-01 -5.746459160135404254e-01 3.776942841031496467e-01 5.839914094831744507e+01 3.901407449110375070e-01
4.398794427183896971e+01 1.774821696077641064e+01 2.384432940216584029e+01 4.034791180759678686e-01 -3.488997142960645337e-01 -1.884460853010598014e-01 5.998358398431065552e+01 4.387405389414411605e-01
4.972057865767256857e+01 1.977403812285316675e+01 2.674168027335441167e+01 3.977032982459418609e-01 -4.330791558823676723e-02 1.081015879994028372e-01 6.720813194402676061e+01 5.674554815805513686e-01
4.595724714342654948e+01 1.954036284647087740e+01 2.562871830455103606e+01 4.251856684428456656e-01 -1.750891790794497083e-01 1.773644748990917813e-02 6.337424362960526736e+01 5.293892740894363680e-01
3.346964804077648381e+01 3.303850714619136397e+01 2.894862604883678969e+01 9.871184514979106650e-01 -5.579526972094597248e-01 6.278766199038881002e-01 6.320892855685158906e+01 6.931737702456158834e-01
3.705208527317893186e+01 2.476493932999449754e+01 2.626445143262567683e+01 6.683817967978501473e-01 -5.265395832151973377e-01 3.724861745049923289e-01 5.935259238357733835e+01 5.681957692500559931e-01
3.552533825055194683e+01 2.148619303410360359e+01 2.390155055851343135e+01 6.048131866491033293e-01 -7.612260294837676078e-01 2.661918248746257196e-03 5.515246712525185302e+01 4.411251656741160265e-01
6.976774950306636924e+01 1.402501107208206221e+01 2.568582128085172656e+01 2.010242722744790267e-01 2.338148037569807991e-01 -2.728650053194630054e-01 8.208391720935686919e+01 5.510093765058231563e-01
7.314997077855542784e+01 1.366141914525499423e+01 2.582918137258932845e+01 1.867590513003999919e-01 2.782955746256413621e-01 -1.167947418379263330e-01 8.511405147552076755e+01 5.671984363990286715e-01
3.812401399724547701e+01 2.214994563126238347e+01 2.511405415133069141e+01 5.809972064553001747e-01 -3.949126482957646678e-01 -6.008661713703101169e-03 5.807547124548065653e+01 5.342786610942757974e-01
5.515116966536696452e+01 1.707078459937272541e+01 2.585538915375351721e+01 3.095271542371764162e-01 -1.285994201008161530e-01 6.780711335341134127e-01 7.032610545912093869e+01 4.847595969321432663e-01
7.842668591975511561e+01 1.228105238607546035e+01 2.504325644181814781e+01 1.565927750490595793e-01 2.408648202335725852e-01 3.788618828172113373e-01 8.926958468693115378e+01 5.194849199098099390e-01
8.831021807513273814e+01 1.073411082246254900e+01 2.437251220064243995e+01 1.215500432048549767e-01 3.130693882985103871e-01 1.312351683540237124e-01 9.779575657018362733e+01 5.247834982012623550e-01
3.822708554390351310e+01 2.330476728286035737e+01 2.582673918792501411e+01 6.096401792413657095e-01 -3.616719508985691833e-01 1.041770273405133798e-02 5.919443368405306671e+01 5.563289398572238698e-01
8.092719581684838204e+01 1.133627835252826976e+01 2.424002342078329875e+01 1.400799599949582031e-01 2.585953650376716095e-01 -1.808752799543233980e-01 9.095687980580993326e+01 5.063576899118976682e-01
7.774348103360838991e+01 1.186355948452820819e+01 2.446014178371814651e+01 1.525987687559244854e-01 1.584070080455841634e-01 9.750523498424190638e-01 8.829721434305726291e+01 4.671157574526321188e-01
4.925197044412028902e+01 1.974015735727574139e+01 2.660140801098544827e+01 4.007993422247398962e-01 1.547302659241991951e-01 -3.270463879816928321e-01 6.656549450727115413e+01 6.261017162430321248e-01
7.073107344641040584e+01 1.388945649540569960e+01 2.569698390084663941e+01 1.963699378312006583e-01 1.442096043082311541e-01 9.868985521328896837e-01 8.299995506423114477e+01 5.136056660469074941e-01
3.845286715654157916e+01 2.663399268917249074e+01 2.776644875984747429e+01 6.926399683213617653e-01 -6.633863851761199193e-01 9.798838915267286120e-01 6.220165907424824780e+01 6.039649709958223589e-01
4.744656201785659277e+01 2.066814296788546557e+01 2.680745264937306516e+01 4.356088637171851574e-01 5.334457819546223334e-03 -2.226812726732034509e-02 6.569010715945179868e+01 5.986794820679985918e-01
6.531995663713628630e+01 1.690277727350161641e+01 2.772068714003614076e+01 2.587689604174032709e-01 2.880548906672775744e-01 4.392347765846831009e-02 7.998039820769025710e+01 6.289076535094709763e-01
3.347554848530708682e+01 2.551165462196235012e+01 2.539383164960227646e+01 7.620981813982762310e-01 1.135206677884151583e-01 -9.219920381140120913e-01 5.663507125821377031e+01 5.971983853315839808e-01
8.511129119039335933e+01 1.244918355718101388e+01 2.613497257576791100e+01 1.462694712189511748e-01 3.173194618903572017e-01 7.378822423835810218e-01 9.603514806266305470e+01 5.617064623299060644e-01
4.142582570748035664e+01 1.697301401866896242e+01 2.264317079487760864e+01 4.097205964829834790e-01 -7.794946600701477823e-01 4.777091264119456282e-01 5.689829457532201928e+01 3.053582896381770717e-01
5.904805541930438295e+01 1.320026779007093154e+01 2.308380784861084933e+01 2.235512701702859484e-01 -1.337399642269364031e-01 6.106361487379013964e-01 7.089558539319075692e+01 3.811269516773732047e-01
